"","FID_site","abate_yr1","abate_yr2","abate_yr3","abate_yr4","abate_yr5","abate_yr6","abate_yr7","abate_yr8","abate_yr9","abate_yr10","abate_yr11","abate_yr12","abate_yr13","abate_yr14","abate_yr15","abate_yr16","abate_yr17","abate_yr18","abate_yr19","abate_yr20","abate_yr21","abate_yr22","abate_yr23","abate_yr24","abate_yr25","abate_CO2eMg_25yrs"
"0",0,5.96356838298311,5.96432072271204,6.06727213230908,7.08992929513871,10.1396636147756,15.0595012644864,20.8052706480352,26.4022509061612,31.2779901947409,35.2083562497743,38.18181283302,40.291421039991,41.6689463390849,42.4501051028043,42.7586124412344,42.7004304038815,42.3630899025652,41.817270494241,41.1191820446808,40.3130429489035,39.4333459356931,38.5068030134379,37.5539570085499,36.5904887672136,35.628263532177,765.354895218595
"1",1,3.39923329002774,3.39956123632431,3.44443794854016,3.89021612070318,5.21960102114128,7.36416746485408,9.86875909787173,12.3084932725158,14.4338371580391,16.147091080885,17.4432263732031,18.3628085407808,18.9632743980181,19.3037829658127,19.4382618923023,19.4129002332766,19.2658528770959,19.0279291749818,18.7236311126752,18.3722335713619,17.9887719961052,17.5848902013787,17.1695428436811,16.749565233226,16.3301294515444,353.612198556346
"2",2,3.91960812603355,3.92000741577144,3.97464688218824,4.51740236191441,6.13598977698897,8.74709830954474,11.7965541110718,14.7670429664099,17.3547471480054,19.4407127983086,21.0188172823363,22.1384509738862,22.8695458429388,23.2841307252973,23.4478650192081,23.4169860299019,23.2379490933039,22.9482660151654,22.5777690929281,22.1499263832129,21.6830442336785,21.1912995253502,20.68559496542,20.1742528592537,19.6635704546031,425.061278392721
"3",3,4.49126815957036,4.49175116373598,4.55784625054287,5.21439494876339,7.17233273109483,10.3308819710341,14.0196816452145,17.6129582935401,20.743196264907,23.2665020322301,25.1754692989762,26.529843543234,27.4142185564431,27.9157246212952,28.1137871771545,28.0764341498915,27.8598606245241,27.5094430701139,27.06126837437,26.5437248679491,25.9789569771599,25.3841138845159,24.7723841408129,24.1538348922301,23.5360836570945,507.925961296398
"4",4,3.51455092142715,3.51491467283818,3.56469101598192,4.05913916443035,5.53366605615203,7.91237585742655,10.6904183298877,13.3965222189717,15.7539107467996,17.6542174079867,19.0918645056803,20.1118464798957,20.777871085535,21.1555563141766,21.3047176243536,21.2765869842058,21.113485025568,20.8495848587845,20.5120635917518,20.122300533528,19.6969726962164,19.2489951637465,18.788300260315,18.3224695740081,17.8572398732374,385.824260962905
"5",5,2.12038452762573,2.12122097050609,2.23568119408462,3.37265996843855,6.76332041152541,12.2331407817373,18.6212227987368,24.8438827333326,30.2646750397786,34.6344119784507,37.9402676889401,40.285706454452,41.8172236462659,42.6857072065746,43.0287022084939,42.9640160713178,42.5889646819888,41.9821287799374,41.2060018640749,40.3097454504987,39.3317081685662,38.3015881298846,37.2422246186684,36.1710514239954,35.101260189798,738.166896987673
"6",6,9.66807580906067,9.67300433376241,10.3474317842454,17.0467870018659,37.0253822429959,69.2548929983293,106.895024508692,143.560448912943,175.501074403038,201.248626265962,220.727531415579,234.547426549742,243.571497993542,248.688814167257,250.709824064325,250.328677625734,248.118783704535,244.543159112108,239.97003072959,234.689070155784,228.926236833354,222.856519252357,216.614492025194,210.302879273421,203.999409368578,4278.815100532
"7",7,3.70333310906333,3.70364319207388,3.74607546276372,4.16757202823993,5.42454512544591,7.45229669989914,9.82046283534486,12.1273043083081,14.1368803803197,15.7568130943067,16.9823476947419,17.8518400779746,18.4195984661505,18.7415594790557,18.8687133174082,18.8447331119122,18.7056954481976,18.4807314873112,18.1930085880025,17.8607517256674,17.4981773623276,17.116295072063,16.7235717498338,16.3264703854381,15.929881336318,346.582301538167
"8",8,4.85862000204829,4.85914791774366,4.93138877237017,5.64898581860669,7.78897996241357,11.2412228975016,15.2730209309524,19.2004138511392,22.6217130302533,25.379645184091,27.4661153510291,28.9464243666625,29.9130318688392,30.4611698390811,30.677648990498,30.6368227393691,30.4001113994214,30.0171107131423,29.5272630617259,28.9615964287509,28.3443143119209,27.6941604887354,27.0255498306592,26.3494855646909,25.6742935144382,553.898236836084
"9",9,2.38786928502001,2.38818944662774,2.43200088918077,2.86719731549608,4.16502568394433,6.25868506562937,8.70382346883918,11.0856439801766,13.1605371028766,14.8331223283384,16.0984903576902,16.9962437651556,17.5824559476096,17.9148816272136,18.0461683340953,18.0214087023711,17.8778519113366,17.6455759692614,17.348501241246,17.0054450672447,16.6310859855266,16.23679141326,15.8313034440479,15.4212951336013,15.0118157901626,321.951409255952
